source;target;label
ELE-18;FIS-45;requisito;
EET-01;MAT-32;requisito;
EET-01;MAT-42;requisito;
EET-01;MAT-46;requisito;
EET-41;EES-10;requisito;
EET-41;MOQ-13;requisito;
EET-41;EET-01;requisito;
EET-46;EET-40;requisito;
EET-50;EET-01;requisito;
EET-50;EET-41;requisito;
EET-61;EET-41;requisito;
EET-61;EET-50;requisito;
EET-62;EET-41;requisito;
EET-62;EET-50;requisito;
ELE-32;MAT-42;requisito;
ELE-32;MOQ-13;requisito;
MOQ-13;MAT-12;requisito;
MOQ-14;MOQ-13;requisito;
MOQ-15;MOQ-13;requisito;
MEB-01;MAT-32;requisito;
MEB-01;MAT-36;requisito;
MEB-13;MEB-01;requisito;
MEB-14;MEB-01;requisito;
MEB-25;MAT-41;requisito;
MEB-26;MAT-42;requisito;
MMT-01;MEB-13;requisito;
MMT-02;MMT-01;requisito;
MMT-05;MEB-01;requisito;
MMT-06;MEB-12;requisito;
MMT-06;MEB-25;requisito;
MMT-07;MMT-01;requisito;
MMT-07;MEB-13;requisito;
MMT-07;MEB-25;requisito;
MES-52;MEB-13;requisito;
MPD-11;FIS-26;requisito;
MPD-42;FIS-26;requisito;
MPD-43;MPS-36;requisito;
MPG-04;MPG-03;requisito;
MPP-22;MPD-11;requisito;
MTM-15;QUI-18;requisito;
MTM-25;MTM-15;requisito;
MTM-30;QUI-18;requisito;
MTM-30;MTM-15;requisito;
MTM-32;MTM-25;requisito;
MTM-35;QUI-18;requisito;
MTP-02;MPG-04;requisito;
MTP-34;MTM-25;requisito;
MTP-45;MTP-34;requisito;
MTP-46;MTP-34;requisito;
MTP-47;MTP-45;requisito;
MPS-22;MAT-42;requisito;
MPS-36;MPS-22;requisito;
MPS-39;ELE-16;requisito;
MPS-43;MPS-36;requisito;
MPS-46;MPS-43;requisito;
MPS-46;MPS-39;requisito;
EDI-31;EST-10;requisito;
EDI-32;EDI-31;requisito;
EDI-33;QUI-28;requisito;
EDI-34;FIS-32;requisito;
EDI-34;EDI-64;requisito;
EDI-37;CCI-22;requisito;
EDI-38;EDI-31;requisito;
EDI-38;EDI-33;requisito;
EDI-38;EDI-37;requisito;
EDI-46;EDI-32;requisito;
EDI-46;EDI-37;requisito;
EDI-48;EDI-33;requisito;
EDI-49;EDI-38;requisito;
EDI-64;MPG-02;requisito;
EDI-65;EDI-46;requisito;
EDI-65;EDI-49;requisito;
GEO-36;GEO-31;requisito;
GEO-45;GEO-36;requisito;
GEO-48;GEO-36;requisito;
GEO-53;GEO-45;requisito;
GEO-55;GEO-47;requisito;
HID-31;MEB-01;requisito;
HID-32;HID-31;requisito;
HID-41;HID-32;requisito;
HID-43;EDI-64;requisito;
HID-43;HID-32;requisito;
HID-44;HID-41;requisito;
TRA-46;TRA-39;requisito;
TRA-53;MOQ-43;requisito;
TRA-57;TRA-39;requisito;
TRA-64;TRA-39;requisito;
CES-25;CES-10;requisito;
CES-27;CES-11;requisito;
CES-33;CES-11;requisito;
CCI-36;CES-11;requisito;
CCI-37;CES-11;requisito;
CCI-38;CES-11;requisito;
CES-22;CES-10;requisito;
CES-26;CES-22;requisito;
CES-28;CES-22;requisito;
CES-29;CES-28;requisito;
CES-30;CES-20;requisito;
CES-38;CES-11;requisito;
CES-65;CES-29;requisito;
CES-11;CES-10;requisito;
CES-23;CES-11;requisito;
CES-41;CES-11;requisito;
CCI-22;CES-10;requisito;
CTC-17;CTC-11;requisito;
CTC-18;CTC-17;requisito;
CTC-34;CTC-20;requisito;
CTC-42;CES-11;requisito;
